
深圳威浩康调试记录

1.接收的数据需要进行16进制转换

    先清理数据，使其变成标准开头和结尾的格式。然后将其进行分成数据块。再统一处理。

DataType 波形包不要
09:41:29.070 TCP转换接收数据:7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F
09:41:29.070 TCP转换接收数据:7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:29.901 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:30.886 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:31.905 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:32.886 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:34.888 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:35.056 TCP转换接收数据:7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CC0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:35.896 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:36.891 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:37.884 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:40.907 admin--getRemoteSocketAddress:/172.20.29.74:1211
09:41:40.908 TCP可以接收数据:10086
09:41:40.908 admin--TCP获取输入与输出流:10086
09:41:40.912 TCP转换接收数据:7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F
09:41:40.913 TCP转换接收数据:7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F
09:41:40.914 TCP转换接收数据:7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F3F3F3F3F3F3F3F3F3F3F00CCAA0117686468FFFEFE36
09:41:40.915 TCP转换接收数据:363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:41.896 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:42.886 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:43.901 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:44.900 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:41:45.904 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000



1.每次断开连接，网线松动等因素都会导致重新连接，一旦重新连接则会开启新的接收线程。
此仪器输出可能会有不完整数据包，有时会出现0001开头的字符串，有时候AA显示不完全，这些应该丢弃。（必须加以判断！！）
此仪器容易出现不完整或者不规范的数据！！！需要多加判断与筛选

09:51:51.052 应用启动
09:51:51.059 开启TCP端口10086
09:53:42.081 TCP可以接收数据:10086
09:53:42.081 admin--TCP连接数量:1
09:53:42.082 admin--getRemoteSocketAddress:/172.20.29.74:1196
09:53:42.082 admin--TCP获取输入与输出流:10086
09:53:42.086 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CCAA02607F7F7F7F7F7F7F7F7F7F7F7F
09:53:42.086 admin--SendOutData
09:53:42.089 TCP转换接收数据:3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F
09:53:42.090 TCP转换接收数据:3F3F3F00CCAA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CCAA02607F7F7F7F7F7F7F
09:53:42.091 TCP转换接收数据:3F3F3F3F3F3F3F3F00CCAA02607F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F7F
09:53:42.091 TCP转换接收数据:3F3F3F3F3F3F3F3F00CCAA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CCAA02607F7F
09:53:42.092 TCP转换接收数据:607F7F7F7F7F000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
09:53:42.874 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000
09:53:42.874 admin--SendOutData
09:53:43.896 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CCAA02607F7F7F7F7F7F7F7F7F7F7F7F
09:53:43.896 admin--SendOutData
09:53:44.903 TCP转换接收数据:000101030000CCAA0402FF00CCAA0A080000000064000000CC0000000000000000000000000000000000000000000000000000000000000000000000
09:53:45.883 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000
09:53:45.883 admin--SendOutData
09:53:46.904 TCP转换接收数据:000101030000CCAA0402FF00CCAA0A080000000064000000CC0000000000000000000000000000000000000000000000000000000000000000000000
09:53:47.876 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000
09:53:47.876 admin--SendOutData
09:53:48.908 TCP转换接收数据:000101030000CCAA0402FF00CCAA0A080000000064000000CC0000000000000000000000000000000000000000000000000000000000000000000000
09:53:49.875 TCP转换接收数据:AA0117686468FFFEFE36363636FF12275FFFFFFF000101030000CCAA0402FF00CCAA0A080000000064000000CC000000000000000000000000000000
09:53:49.875 admin--SendOutData
